brand,model,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,age,Engine_Displacement
Ford,Mustang GT Premium,37060.0,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Manual,black,black,None reported,Yes,28500.0,10,3.6
Volvo,XC90 Hybrid T8 R-Design,40000.0,Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Automatic,black,black,None reported,Yes,42000.0,6,3.5
Mercedes-Benz,GLK-Class GLK 350,186000.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,black,other,At least 1 accident or damage reported,Yes,10000.0,10,5.0
Lexus,IS 350 Base,104000.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,21000.0,10,3.5
Audi,A5 2.0T Premium Plus,47523.0,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,31000.0,5,2.2
BMW,M4 Base,57800.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,black,red,None reported,Yes,55999.0,5,3.0
Audi,RS 5 2.9T,21240.0,Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,At least 1 accident or damage reported,Yes,59950.0,5,3.5
Porsche,Cayenne Base,59338.0,Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,42499.0,5,5.3
Maserati,Quattroporte S,23230.0,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,44999.0,5,2.0
BMW,740 Li,85252.0,Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,18500.0,12,1.8
Mercedes-Benz,GLS 450 Base 4MATIC,17900.0,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Other,black,black,At least 1 accident or damage reported,Yes,80000.0,4,2.0
Aston,Martin DBS Superleggera,2165.0,Gasoline,5.2L V12 48V GDI DOHC Twin Turbo,Automatic,black,black,None reported,Yes,279950.0,3,4.4
BMW,525 i,91420.0,Gasoline,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,8900.0,19,2.0
GMC,Acadia SLT-1,116226.0,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,7900.0,12,3.0
Land,Rover LR4 HSE LUX Landmark Edition,144000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,At least 1 accident or damage reported,Yes,18000.0,8,5.7
BMW,750 750i xDrive,10917.0,Gasoline,4.4 Liter Twin Turbo,Automatic,black,black,None reported,No,73998.0,3,3.683781266631186
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,69000.0,Gasoline,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Automatic,black,brown,None reported,Yes,36500.0,8,3.5
Audi,Q7 3.0T Premium Plus,98527.0,Gasoline,280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,No,9995.0,9,5.7
Lucid,Air Pure,1300.0,Electric,620.0HP Electric Motor Electric Fuel System,Automatic,black,gray,None reported,No,86900.0,1,2.4
BMW,650 Gran Coupe i xDrive,41000.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,30000.0,9,3.0
Subaru,Forester Premium,42125.0,Gasoline,2.5L H4 16V GDI DOHC,CVT,black,black,None reported,Yes,27899.0,3,2.0
Mercedes-Benz,AMG C AMG C 63,62000.0,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,40000.0,8,2.7
Porsche,911 Carrera S,18494.0,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Manual,black,black,None reported,No,86900.0,11,2.0
Hyundai,Kona N Base,654.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,black,black,None reported,Yes,34599.0,1,6.0
Chevrolet,Monte Carlo SS,75000.0,Gasoline,240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,12500.0,19,3.5
Ferrari,FF Base,19987.0,Gasoline,651.0HP 6.3L 12 Cylinder Engine Gasoline Fuel,Automatic,black,brown,None reported,Yes,149900.0,8,3.0
Kia,K900 5.0L,36486.0,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,black,other,At least 1 accident or damage reported,Yes,23950.0,7,4.4
Ford,E150 XLT,162100.0,E85 Flex Fuel,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,Automatic,black,gray,None reported,Yes,12500.0,11,3.683781266631186
Tesla,Model 3 Performance,13079.0,Electric,455.0HP Electric Motor Electric Fuel System,Automatic,black,white,None reported,Yes,47000.0,2,3.0
Subaru,Forester Base,32744.0,Gasoline,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT,black,gray,None reported,Yes,24000.0,4,5.3
RAM,2500 Laramie,65000.0,Diesel,370.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,Automatic,black,black,None reported,Yes,65000.0,5,2.0
Lexus,NX 350 F SPORT Handling,820.0,Gasoline,2.4 Liter,Automatic,black,black,None reported,No,51998.0,1,3.5
Genesis,G70 2.0T,4785.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,black,black,None reported,Yes,42850.0,1,3.6
Porsche,911 GT2 RS,4529.0,Gasoline,3.8L H6 24V GDI DOHC Twin Turbo,Other,black,black,None reported,Yes,417500.0,6,4.0
Lincoln,Navigator L,95000.0,Gasoline,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,10900.0,16,2.4
Audi,SQ5 3.0T Premium Plus,60000.0,Gasoline,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,At least 1 accident or damage reported,Yes,24700.0,8,6.0
Mitsubishi,Lancer Evolution GSR,33000.0,Gasoline,291.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,black,black,None reported,Yes,34999.0,12,3.8
Tesla,Model Y Performance,500.0,Electric,455.0HP Electric Motor Electric Fuel System,Automatic,black,white,None reported,Yes,60000.0,1,2.0
Mercedes-Benz,GLS 550 Base 4MATIC,74422.0,Gasoline,4.7 Liter Twin Turbo,Automatic,black,gray,None reported,No,44798.0,6,3.5
Nissan,Titan XD SV,10001.0,Gasoline,5.6L V8 32V GDI DOHC,Automatic,black,black,None reported,Yes,47214.0,4,1.5
Lexus,LX 570 Three-Row,19050.0,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,black,other,None reported,Yes,76900.0,5,2.0
Mercedes-Benz,Sprinter High Roof,65000.0,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,Automatic,black,black,At least 1 accident or damage reported,Yes,54999.0,10,5.0
BMW,X5 3.0i,140000.0,Gasoline,225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,black,other,None reported,Yes,6730.0,20,3.7
Ford,Shelby GT500 Base,15629.0,Gasoline,5.8L V8 32V MPFI DOHC Supercharged,Manual,black,black,None reported,No,61900.0,10,2.0
Mercedes-Benz,SL-Class SL 550,115000.0,Gasoline,429.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,At least 1 accident or damage reported,Yes,36000.0,11,5.2
Honda,S2000 CR,82323.0,Gasoline,237.0HP 2.2L 4 Cylinder Engine Gasoline Fuel,Manual,black,black,None reported,Yes,28500.0,16,3.5
Lincoln,Navigator L Reserve,67073.0,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,At least 1 accident or damage reported,Yes,47999.0,5,3.5
Tesla,Model X Base,8200.0,Electric,670.0HP Electric Motor Electric Fuel System,Automatic,black,black,None reported,Yes,93999.0,1,3.0
Volkswagen,Routan SE,123815.0,Gasoline,283.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,black,gray,None reported,Yes,5000.0,12,3.0
Toyota,Highlander XLE,61341.0,Gasoline,3.5L V6 24V PDI DOHC,Automatic,black,black,At least 1 accident or damage reported,No,34084.0,4,2.0
Honda,Civic LX,96473.0,Gasoline,2.0L I4 16V MPFI DOHC,CVT,black,black,None reported,No,15599.0,8,3.683781266631186
Jeep,Wrangler Unlimited Sahara,66107.0,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,black,black,None reported,No,31331.0,7,2.0
Land,Rover Range Rover Supercharged,114287.0,Gasoline,400.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,9900.0,16,6.1
BMW,X6 sDrive35i,70582.0,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,black,white,At least 1 accident or damage reported,Yes,35000.0,8,6.0
Porsche,Cayman S,33088.0,Gasoline,325.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,49750.0,10,3.0
Ford,Transit-350 XLT,20000.0,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,78499.0,1,1.6
Nissan,NV Passenger NV3500 HD SL V8,46496.0,Gasoline,375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Automatic,black,gray,None reported,Yes,41000.0,7,2.9
Toyota,Land Cruiser Base,175000.0,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,black,other,At least 1 accident or damage reported,Yes,37900.0,16,3.0
RAM,ProMaster 2500 Window Van High Roof,49750.0,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,black,gray,None reported,Yes,65000.0,8,5.2
Lincoln,MKZ Base,83765.0,Gasoline,263.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,8995.0,13,3.0
Lamborghini,Urus Base,13692.0,Gasoline,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,black,red,None reported,Yes,257000.0,3,3.0
Maserati,Levante S,54423.0,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,33950.0,7,3.3
Audi,Q5 Premium,2425.0,Hybrid,2.0 Liter TFSI,Automatic,black,black,None reported,No,42998.0,1,2.0
Lincoln,Town Car Base,36524.0,Gasoline,239.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,14900.0,20,3.4
Toyota,Camry Hybrid LE,14048.0,Hybrid,2.5L I4 16V PDI DOHC Hybrid,CVT,black,black,None reported,No,29999.0,2,3.3
Honda,CR-V EX,224000.0,Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Manual,black,gray,None reported,Yes,3900.0,21,2.0
Kia,Sportage SX Turbo,87842.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,Other,black,black,None reported,Yes,18688.0,7,2.4
Ford,Transit-350 XLT,32000.0,Diesel,210.0HP 2.0L 4 Cylinder Engine Diesel Fuel,Automatic,black,black,None reported,Yes,68000.0,4,4.0
INFINITI,Q70 3.7,70312.0,Gasoline,330.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,19995.0,10,3.0
Lincoln,MKX Base,156000.0,Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,At least 1 accident or damage reported,Yes,5900.0,14,3.0
Porsche,Cayman S,5856.0,Gasoline,295.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,Manual,black,black,None reported,Yes,45000.0,17,4.4
Mercedes-Benz,AMG GLS 63 4MATIC,4102.0,Hybrid,603.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,Other,black,black,None reported,Yes,144664.0,2,2.5
Audi,Q3 45 S line Premium,9325.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,black,black,None reported,No,33610.0,2,2.0
Subaru,BRZ Premium,5800.0,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Manual,black,black,None reported,Yes,29990.0,1,1.6
BMW,640 i,40080.0,Gasoline,315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,28499.0,8,3.683781266631186
Kia,Stinger GT2,57000.0,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Automatic,black,red,At least 1 accident or damage reported,Yes,36500.0,4,5.2
Chevrolet,Bolt EUV Premier,7624.0,Electric,Electric,Other,black,black,None reported,Yes,31985.0,2,2.0
BMW,M4 Base,62500.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,black,orange,At least 1 accident or damage reported,Yes,40500.0,8,3.0
Mercedes-Benz,AMG E 53 4MATIC,8375.0,Gasoline,"AMG 3L I-6 gasoline direct injection, DOHC, variable valve contr",Automatic,black,black,None reported,No,69900.0,4,5.7
Mercedes-Benz,AMG G 63 Base,19593.0,Gasoline,4.0 Liter Twin Turbo,Automatic,black,black,None reported,No,159998.0,5,3.5
Hyundai,Veloster Base,800.0,Gasoline,132.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Automatic,black,gray,None reported,Yes,9800.0,11,2.5
Bentley,Bentayga S,2600.0,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,black,other,None reported,Yes,239995.0,1,1.8
Kia,Telluride SX,69185.0,Gasoline,3.8L V6 24V GDI DOHC,Automatic,black,gray,None reported,No,37405.0,4,6.2
Maserati,GranTurismo Sport,45000.0,Gasoline,454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,41900.0,9,3.6
Chevrolet,Corvette Stingray w/1LT,4000.0,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,black,red,At least 1 accident or damage reported,Yes,73900.0,1,5.0
Audi,Q5 S line Premium Plus,4648.0,Hybrid,2.0 Liter TFSI,Automatic,black,black,None reported,No,47598.0,1,1.5
RAM,1500 Big Horn,70968.0,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,34000.0,3,2.5
Subaru,Impreza WRX Sti,94000.0,Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Manual,black,blue,None reported,Yes,19500.0,19,3.0
Mercedes-Benz,CLK-Class CLK 350,21500.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,At least 1 accident or damage reported,Yes,18000.0,15,2.0
Land,Rover Range Rover Autobiography,324.0,Gasoline,4.4 Liter,Automatic,black,other,None reported,No,199998.0,1,4.3
Kia,Optima EX,68166.0,Gasoline,"1.6L I-4 gasoline direct injection, DOHC, variable valve control",Automatic,black,black,None reported,No,20818.0,5,3.6
Toyota,Highlander SE,53607.0,Gasoline,3.5L V6 24V PDI DOHC,Automatic,black,black,At least 1 accident or damage reported,No,31853.0,6,2.0
BMW,328 xi,83000.0,Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,black,brown,None reported,Yes,8995.0,17,3.0
Kia,Telluride SX,9822.0,Gasoline,3.8L V6 24V GDI DOHC,Automatic,black,gray,None reported,No,50998.0,1,2.0
Audi,TT 2.0T,126760.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,black,black,At least 1 accident or damage reported,Yes,14000.0,9,4.4
Dodge,Ram 1500 ST,134000.0,Gasoline,390.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,black,gray,At least 1 accident or damage reported,Yes,10500.0,13,6.75
Mercedes-Benz,Sprinter 3500 High Roof,124630.0,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,Automatic,black,black,None reported,Yes,75000.0,7,3.0
BMW,440 i xDrive,73500.0,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,black,blue,None reported,Yes,32000.0,6,5.5
Lexus,LX 600 F SPORT,1185.0,Gasoline,409.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,120990.0,1,3.6
BMW,Z4 sDrive28i,57550.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,black,white,None reported,Yes,29995.0,9,3.7
Cadillac,CTS-V Base,48600.0,Gasoline,640.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,60999.0,7,2.0
Lexus,IS 250 Base,121250.0,Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,Automatic,black,white,At least 1 accident or damage reported,Yes,13250.0,14,3.8
Hyundai,Tucson Limited,149000.0,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Automatic,black,gray,None reported,Yes,3850.0,16,3.683781266631186
Dodge,Durango GT,14684.0,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,black,black,None reported,No,37995.0,3,1.8
Cadillac,Escalade EXT Base,99000.0,Gasoline,403.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,22999.0,17,3.683781266631186
Ford,F-250 Lariat,35597.0,E85 Flex Fuel,6.2L V8 16V MPFI SOHC Flexible Fuel,Other,black,black,None reported,No,47756.0,5,2.0
McLaren,570S Spider,8700.0,Gasoline,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,185000.0,4,3.0
Lincoln,Aviator Luxury,140000.0,Gasoline,302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Automatic,black,other,None reported,Yes,2000.0,19,5.3
Mercedes-Benz,AMG E 63 S 4MATIC,40000.0,Gasoline,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,At least 1 accident or damage reported,Yes,72000.0,5,3.5
Toyota,4Runner Limited,48156.0,Gasoline,4.0L V6 24V MPFI DOHC,Automatic,black,other,None reported,No,40368.0,5,3.0
Mercedes-Benz,S-Class S 580 4MATIC,4700.0,Hybrid,496.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,Other,black,black,None reported,Yes,99900.0,3,3.0
BMW,750 Li xDrive,103000.0,Gasoline,407.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,16000.0,12,3.683781266631186
BMW,M3 CS,456.0,Gasoline,543.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,128995.0,0,2.0
Land,Rover Defender X,5433.0,Hybrid,3.0 Liter,Automatic,black,black,None reported,No,95998.0,1,4.4
BMW,750 i xDrive,28744.0,Gasoline,4.4 Liter DOHC Twin Turbo,Automatic,black,black,None reported,No,50998.0,5,2.5
Lexus,LC 500 Base,37000.0,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,black,red,None reported,Yes,63997.0,6,4.0
Dodge,Ram 1500 Laramie,141209.0,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,5700.0,20,4.4
Jaguar,F-TYPE R,58000.0,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,51500.0,7,3.0
BMW,M760 i xDrive,11078.0,Gasoline,"6.6L V-12 gasoline direct injection, DOHC, variable valve contro",Automatic,black,white,None reported,No,91900.0,3,2.5
Lexus,LC 500 Base,61000.0,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,65000.0,6,5.7
Audi,S4 3.0T Premium,18603.0,Gasoline,3.0L V6 24V GDI DOHC Turbo,Automatic,black,black,None reported,No,42900.0,5,3.8
Audi,A8 4.0,35999.0,Hybrid,4.0 Liter Turbo,Automatic,black,brown,None reported,No,59598.0,4,5.7
Cadillac,Escalade ESV Sport,8044.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,black,other,None reported,Yes,93000.0,3,5.6
Cadillac,Escalade Premium,71000.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,black,brown,At least 1 accident or damage reported,Yes,35999.0,9,2.7
Mercedes-Benz,AMG S 63 Base 4MATIC,20937.0,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,black,black,None reported,No,104900.0,4,3.0
Mercedes-Benz,Metris Base,32000.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,44900.0,6,5.3
Volvo,XC90 T6 Inscription,22500.0,Gasoline,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,black,white,None reported,Yes,50000.0,4,4.4
Ford,Expedition King Ranch,58700.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,black,brown,At least 1 accident or damage reported,Yes,48999.0,4,2.0
Chevrolet,Bolt EUV Premier,14676.0,Electric,200.0HP Electric Motor Electric Fuel System,Automatic,black,blue,None reported,Yes,33000.0,2,3.8
BMW,X7 xDrive40i,2950.0,Hybrid,375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,black,brown,None reported,Yes,87000.0,1,2.0
Acura,MDX w/Technology Package,30177.0,Gasoline,3.5L 24V SOHC I-VTEC V6,Other,black,other,None reported,No,46598.0,2,4.0
Chevrolet,Tahoe High Country,53000.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,At least 1 accident or damage reported,Yes,67100.0,3,3.6
Porsche,Cayman Base,75137.0,Gasoline,245.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,Manual,black,gray,At least 1 accident or damage reported,Yes,24999.0,17,2.0
Ford,Expedition Max King Ranch,37594.0,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,black,other,None reported,Yes,62595.0,3,6.3
Mercedes-Benz,GLC 300 GLC 300,12771.0,Gasoline,2.0 Liter Turbo,Automatic,black,black,None reported,No,42598.0,3,5.0
Tesla,Model Y Long Range,69548.0,Electric,425.0HP Electric Motor Electric Fuel System,Automatic,black,black,At least 1 accident or damage reported,Yes,36300.0,3,5.4
Toyota,Sequoia Platinum,124838.0,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,black,gray,None reported,Yes,33000.0,10,3.683781266631186
Nissan,NV Passenger NV3500 HD SL V8,14353.0,Gasoline,375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Automatic,black,gray,None reported,Yes,63900.0,4,4.0
Nissan,Leaf S,56450.0,Electric,147.0HP Electric Motor Electric Fuel System,Automatic,black,black,At least 1 accident or damage reported,Yes,13999.0,6,2.5
Jeep,Wrangler Unlimited Sahara,68816.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,black,black,None reported,Yes,35297.0,4,3.6
Audi,S6 4.0T,91188.0,Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,29995.0,8,4.0
GMC,Sierra 2500 SLE,116210.0,E85 Flex Fuel,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,Other,black,other,None reported,Yes,31900.0,9,6.7
Cadillac,Escalade ESV Platinum,67726.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,52000.0,6,2.4
Audi,TT 3.2 Cabriolet quattro,207000.0,Gasoline,250.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,Manual,black,black,At least 1 accident or damage reported,Yes,10500.0,16,4.6
Hyundai,Santa Fe SE,35550.0,Gasoline,2.5L I4 16V PDI DOHC,Automatic,black,black,At least 1 accident or damage reported,Yes,25987.0,3,4.5
Mercedes-Benz,AMG GLE AMG GLE 63 S-Model 4MATIC,44000.0,Gasoline,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Automatic,black,black,None reported,Yes,46599.0,8,3.8
Audi,A7 Premium,103272.0,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,black,brown,None reported,Yes,15500.0,12,2.4
RAM,1500 Laramie,107714.0,Gasoline,5.7L V8 16V MPFI OHV,Automatic,black,black,None reported,Yes,34918.0,5,2.0
Cadillac,XTS Luxury,54002.0,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,black,other,At least 1 accident or damage reported,Yes,22500.0,5,4.7
